"time	month	temperature	wind	humidity	barometer	visibility	weather"
"13.5	1	33	7	49	1006	8	Scattered clouds"
"14.0	1	32	7	55	1006	7	Scattered clouds"
"14.5	1	32	9	59	1006	7	Scattered clouds"
"15.0	1	31	15	62	1006	8	Scattered clouds"
"15.5	1	31	13	62	1005	8	Scattered clouds"
"16.0	1	31	13	66	1006	8	Scattered clouds"
"16.5	1	31	9	62	1006	0	Partly sunny"
"17.0	1	30	11	66	1006	0	Partly sunny"
"17.5	1	29	15	79	1006	0	Partly sunny"
"18.0	1	28	15	84	1007	0	Passing clouds"
"18.5	1	28	15	84	1007	0	Passing clouds"
"19.0	1	27	11	84	1008	0	Passing clouds"
"19.5	1	27	9	84	1008	0	Passing clouds"
"20.0	1	27	13	84	1008	0	Passing clouds"
"20.5	1	27	13	79	1008	0	Passing clouds"
"21.0	1	26	13	84	1008	0	Passing clouds"
"21.5	1	26	13	84	1008	0	Passing clouds"
"22.0	1	26	13	84	1008	0	Passing clouds"
"22.5	1	26	9	84	1008	0	Passing clouds"
"23.0	1	26	9	89	1008	0	Passing clouds"
"23.5	1	26	11	89	1009	0	Passing clouds"
"0.0	1	25	9	94	1009	0	Passing clouds"
"0.5	1	25	11	94	1008	0	Passing clouds"
"1.0	1	24	9	100	1008	0	Passing clouds"
"1.5	1	25	11	94	1008	0	Passing clouds"
"2.0	1	24	7	100	1008	0	Passing clouds"
"2.5	1	25	6	94	1007	8	Passing clouds"
"3.0	1	24	7	100	1007	8	Passing clouds"
"3.5	1	24	13	100	1007	8	Passing clouds"
"4.0	1	24	11	100	1007	8	Passing clouds"
"4.5	1	24	11	94	1007	8	Passing clouds"
"5.0	1	24	9	94	1008	8	Passing clouds"
"5.5	1	24	6	94	1008	7	Passing clouds"
"6.0	1	24	2	94	1008	5	Fog"
"6.5	1	24	0	94	1008	3	Fog"
"7.0	1	24	2	100	1009	4	Fog"
"7.5	1	26	0	94	1009	7	Scattered clouds"
"8.0	1	26	4	89	1009	8	Scattered clouds"
"8.5	1	27	4	84	1010	8	Scattered clouds"
"9.0	1	27	9	89	1010	7	Scattered clouds"
"9.5	1	28	9	84	1010	6	Scattered clouds"
"10.0	1	29	6	79	1010	6	Scattered clouds"
"10.5	1	31	7	70	1009	8	Passing clouds"
"11.0	1	31	7	66	1009	0	Passing clouds"
"11.5	1	31	9	66	1009	0	Scattered clouds"
"12.0	1	32	6	63	1008	0	Scattered clouds"
"12.5	1	32	7	63	1007	8	Scattered clouds"
"13.0	1	32	4	63	1007	8	Scattered clouds"
"13.5	1	33	2	56	1006	6	Partly sunny"
"14.0	1	33	7	59	1006	6	Partly sunny"
"14.5	1	32	7	63	1005	6	Partly sunny"
"15.0	1	31	6	66	1005	6	Partly sunny"
"15.5	1	32	11	63	1005	6	Partly sunny"
"16.0	1	32	13	63	1005	6	Partly sunny"
"16.5	1	31	15	70	1005	8	Partly sunny"
"17.0	1	30	15	75	1006	8	Scattered clouds"
"17.5	1	30	17	75	1006	8	Scattered clouds"
"18.0	1	29	13	84	1006	8	Passing clouds"
"18.5	1	29	17	84	1006	8	Passing clouds"
"19.0	1	28	11	84	1006	8	Passing clouds"
"19.5	1	28	11	89	1007	8	Passing clouds"
"20.0	1	27	11	94	1007	8	Passing clouds"
"20.5	1	27	9	94	1008	0	Passing clouds"
"21.0	1	27	7	94	1008	0	Passing clouds"
"21.5	1	27	6	94	1008	0	Passing clouds"
"22.0	1	27	7	94	1008	0	Passing clouds"
"22.5	1	27	6	94	1009	0	Passing clouds"
"23.0	1	27	9	94	1008	8	Passing clouds"
"23.5	1	27	9	94	1008	8	Passing clouds"
"0.0	1	27	4	94	1008	8	Passing clouds"
"0.5	1	27	7	94	1008	8	Passing clouds"
"1.0	1	26	7	100	1008	8	Passing clouds"
"1.5	1	26	9	100	1007	8	Passing clouds"
"2.0	1	26	6	100	1007	8	Passing clouds"
"2.5	1	26	6	100	1007	8	Passing clouds"
"3.5	1	26	6	94	1007	7	Partly cloudy"
"4.0	1	26	7	94	1007	7	Partly cloudy"
"4.5	1	26	4	94	1007	7	Partly cloudy"
"5.0	1	26	6	94	1007	7	Partly cloudy"
"5.5	1	26	7	94	1007	7	Partly cloudy"
"6.0	1	26	9	94	1008	7	Partly cloudy"
"6.5	1	26	7	94	1008	8	Partly sunny"
"7.0	1	26	7	94	1008	8	Partly sunny"
"7.5	1	27	6	89	1009	8	Partly sunny"
"8.5	1	28	7	84	1009	8	Scattered clouds"
"9.0	1	28	7	84	1009	8	Scattered clouds"
"9.5	1	28	7	84	1010	0	Partly sunny"
"10.5	1	29	7	79	1010	0	Partly sunny"
"11.0	1	29	11	79	1009	0	Partly sunny"
"11.5	1	29	7	79	1009	0	Partly sunny"
"12.0	1	29	9	79	1009	0	Partly sunny"
"12.5	1	29	7	79	1008	8	Partly sunny"
"13.0	1	30	6	75	1008	8	Partly sunny"
"14.0	1	30	6	75	1007	8	Broken clouds"
"14.5	1	30	7	75	1007	8	Broken clouds"
"15.0	1	30	15	75	1007	0	Broken clouds"
"15.5	1	30	15	75	1006	0	Scattered clouds"
"16.0	1	30	13	75	1007	0	Scattered clouds"
"16.5	1	30	13	75	1007	0	Scattered clouds"
"17.0	1	29	11	79	1007	0	Scattered clouds"
"17.5	1	29	13	79	1007	0	Scattered clouds"
"18.0	1	28	15	84	1008	0	Passing clouds"
"18.5	1	28	15	84	1008	0	Passing clouds"
"19.0	1	27	13	84	1008	0	Passing clouds"
"19.5	1	27	13	84	1008	0	Passing clouds"
"20.0	1	27	9	84	1009	0	Passing clouds"
"20.5	1	27	15	84	1009	0	Passing clouds"
"21.0	1	26	11	89	1009	0	Passing clouds"
"21.5	1	26	13	89	1009	0	Passing clouds"
"23.0	1	26	13	94	1009	0	Passing clouds"
"23.5	1	26	17	94	1009	0	Passing clouds"
"0.5	1	26	9	94	1009	0	Passing clouds"
"1.0	1	26	9	94	1009	0	Passing clouds"
"1.5	1	25	9	94	1008	0	Passing clouds"
"2.0	1	26	9	94	1008	0	Passing clouds"
"2.5	1	25	7	94	1008	0	Passing clouds"
"3.0	1	25	7	100	1007	0	Passing clouds"
"3.5	1	25	7	94	1007	0	Passing clouds"
"4.0	1	25	9	94	1007	0	Passing clouds"
"4.5	1	25	11	94	1007	0	Passing clouds"
"5.0	1	25	7	94	1008	0	Passing clouds"
"5.5	1	25	9	94	1008	0	Passing clouds"
"6.0	1	25	7	94	1008	0	Passing clouds"
"6.5	1	25	6	94	1008	0	Scattered clouds"
"7.0	1	26	7	94	1009	0	Scattered clouds"
"7.5	1	27	7	89	1009	0	Passing clouds"
"8.0	1	27	13	89	1010	0	Passing clouds"
"8.5	1	28	11	84	1010	0	Passing clouds"
"9.0	1	29	13	79	1010	0	Passing clouds"
"9.5	1	30	15	75	1010	0	Scattered clouds"
"10.0	1	31	15	70	1010	0	Partly sunny"
"10.5	1	31	19	70	1010	0	Partly sunny"
"11.0	1	31	19	70	1009	0	Partly sunny"
"11.5	1	32	17	67	1009	0	Partly sunny"
"12.0	1	32	15	67	1008	0	Partly sunny"
"12.5	1	32	13	63	1008	0	Partly sunny"
"13.0	1	31	15	66	1007	0	Partly sunny"
"13.5	1	32	13	63	1007	0	Partly sunny"
"14.0	1	32	17	63	1007	0	Partly sunny"
"14.5	1	32	19	63	1007	0	Partly sunny"
"15.5	1	31	17	70	1007	0	Scattered clouds"
"16.0	1	30	19	75	1007	0	Scattered clouds"
"16.5	1	30	19	75	1007	0	Passing clouds"
"17.0	1	29	20	79	1007	0	Passing clouds"
"17.5	1	29	17	79	1007	0	Passing clouds"
"18.0	1	28	19	84	1008	0	Passing clouds"
"18.5	1	28	11	84	1008	0	Passing clouds"
"19.0	1	27	13	89	1008	0	Passing clouds"
"20.0	1	27	17	89	1009	0	Passing clouds"
"20.5	1	27	13	89	1009	0	Passing clouds"
"21.0	1	26	13	94	1009	0	Passing clouds"
"21.5	1	26	13	94	1009	0	Passing clouds"
"22.0	1	26	13	94	1009	0	Passing clouds"
"22.5	1	26	9	94	1010	0	Passing clouds"
"23.0	1	26	11	94	1010	0	Passing clouds"
"23.5	1	26	9	94	1010	0	Passing clouds"
"0.5	1	26	9	94	1010	0	Passing clouds"
"1.0	1	26	7	94	1010	0	Passing clouds"
"1.5	1	26	9	94	1009	0	Passing clouds"
"2.0	1	26	9	94	1009	0	Passing clouds"
"2.5	1	25	9	100	1009	0	Passing clouds"
"3.0	1	25	6	100	1009	0	Passing clouds"
"3.5	1	26	9	94	1009	0	Passing clouds"
"4.0	1	26	11	94	1009	0	Passing clouds"
"4.5	1	26	13	94	1009	0	Passing clouds"
"5.0	1	26	15	94	1009	0	Passing clouds"
"5.5	1	26	13	94	1010	0	Passing clouds"
"6.0	1	26	13	94	1010	0	Passing clouds"
"6.5	1	26	13	94	1010	0	Scattered clouds"
"7.0	1	27	11	89	1011	0	Scattered clouds"
"7.5	1	27	19	89	1011	0	Scattered clouds"
"8.0	1	28	15	84	1012	0	Scattered clouds"
"8.5	1	29	15	79	1012	0	Scattered clouds"
"9.0	1	29	13	79	1012	0	Scattered clouds"
"9.5	1	30	11	75	1012	0	Scattered clouds"
"10.0	1	30	9	75	1012	0	Scattered clouds"
"10.5	1	30	11	75	1012	0	Scattered clouds"
"11.0	1	31	9	66	1011	0	Scattered clouds"
"11.5	1	31	9	66	1011	0	Scattered clouds"
"12.0	1	32	7	63	1010	0	Scattered clouds"
"12.5	1	32	4	63	1009	0	Scattered clouds"
"13.0	1	32	6	59	1009	0	Scattered clouds"
"13.5	1	31	11	66	1008	0	Scattered clouds"
"14.0	1	31	7	66	1008	0	Scattered clouds"
"14.5	1	32	11	67	1008	0	Scattered clouds"
"15.5	1	32	15	63	1007	0	Scattered clouds"
"16.0	1	32	13	63	1008	0	Scattered clouds"
"16.5	1	31	17	70	1008	0	Scattered clouds"
"17.0	1	30	15	70	1008	0	Scattered clouds"
"17.5	1	29	17	74	1009	0	Scattered clouds"
"18.0	1	28	15	79	1009	0	Passing clouds"
"18.5	1	28	11	79	1009	0	Passing clouds"
"19.0	1	28	13	79	1010	0	Passing clouds"
"21.0	1	28	13	84	1011	0	Passing clouds"
"21.5	1	27	17	89	1011	0	Passing clouds"
"22.0	1	27	17	89	1011	0	Passing clouds"
"22.5	1	27	17	89	1011	0	Passing clouds"
"23.0	1	27	13	89	1011	0	Passing clouds"
"23.5	1	27	11	89	1010	0	Passing clouds"
"0.0	1	27	15	89	1010	0	Passing clouds"
"0.5	1	27	17	89	1010	0	Passing clouds"
"1.0	1	26	15	94	1009	0	Passing clouds"
"1.5	1	26	15	94	1009	0	Passing clouds"
"2.0	1	26	9	94	1009	0	Passing clouds"
"2.5	1	26	13	94	1009	0	Passing clouds"
"3.0	1	26	13	94	1009	0	Passing clouds"
"3.5	1	26	13	94	1009	0	Passing clouds"
"4.0	1	26	9	94	1009	0	Passing clouds"
"4.5	1	26	7	94	1009	0	Passing clouds"
"5.0	1	25	6	100	1009	0	Passing clouds"
"5.5	1	25	4	100	1010	0	Passing clouds"
"6.0	1	25	6	100	1010	0	Passing clouds"
"6.5	1	26	4	94	1010	0	Scattered clouds"
"7.0	1	27	6	89	1011	0	Scattered clouds"
"7.5	1	27	7	89	1011	0	Scattered clouds"
"8.5	1	29	11	79	1012	0	Scattered clouds"
"9.0	1	30	15	75	1012	0	Passing clouds"
"9.5	1	30	17	75	1012	0	Scattered clouds"
"10.0	1	30	13	75	1012	0	Scattered clouds"
"10.5	1	30	11	70	1011	0	Partly sunny"
"11.0	1	32	11	67	1011	0	Partly sunny"
"11.5	1	31	13	66	1011	0	Partly sunny"
"12.0	1	31	6	66	1010	0	Partly sunny"
"12.5	1	32	9	63	1009	0	Partly sunny"
"13.0	1	32	7	63	1009	0	Partly sunny"
"13.5	1	33	7	59	1009	0	Partly sunny"
"14.0	1	32	13	67	1008	0	Partly sunny"
"14.5	1	32	15	71	1008	0	Partly sunny"
"15.0	1	31	15	70	1008	0	Partly sunny"
"15.5	1	31	17	75	1008	0	Scattered clouds"
"16.0	1	31	19	75	1008	8	Scattered clouds"
"16.5	1	30	17	75	1009	0	Scattered clouds"
"17.0	1	30	17	75	1009	0	Scattered clouds"
"17.5	1	29	15	74	1009	0	Scattered clouds"
"18.0	1	28	17	84	1010	0	Passing clouds"
"18.5	1	28	17	84	1010	0	Passing clouds"
"19.0	1	28	17	84	1010	0	Passing clouds"
"19.5	1	28	13	84	1011	0	Passing clouds"
"20.0	1	28	11	79	1012	0	Passing clouds"
"20.5	1	27	9	89	1012	0	Passing clouds"
"21.0	1	27	17	89	1012	0	Passing clouds"
"21.5	1	27	11	89	1012	0	Passing clouds"
"22.5	1	27	11	84	1012	0	Passing clouds"
"23.0	1	26	15	94	1012	0	Passing clouds"
"23.5	1	26	13	94	1012	0	Passing clouds"
"0.0	1	26	9	94	1012	0	Passing clouds"
"0.5	1	26	9	94	1011	0	Passing clouds"
"1.0	1	26	13	94	1011	0	Passing clouds"
"1.5	1	26	7	94	1011	0	Passing clouds"
"2.0	1	26	7	94	1010	0	Passing clouds"
"2.5	1	26	11	89	1010	0	Passing clouds"
"3.0	1	26	4	94	1010	0	Passing clouds"
"3.5	1	25	7	100	1010	0	Passing clouds"
"4.0	1	25	0	100	1010	0	Passing clouds"
"4.5	1	25	6	100	1010	0	Passing clouds"
"5.0	1	25	9	100	1011	0	Passing clouds"
"5.5	1	25	7	100	1011	0	Passing clouds"
"6.0	1	25	4	94	1011	0	Passing clouds"
"6.5	1	25	4	94	1012	0	Passing clouds"
"7.0	1	26	6	94	1012	0	Scattered clouds"
"7.5	1	27	7	89	1012	0	Scattered clouds"
"8.0	1	28	7	84	1013	0	Scattered clouds"
"8.5	1	28	6	84	1013	0	Passing clouds"
"9.0	1	28	7	84	1013	0	Scattered clouds"
"10.0	1	30	9	70	1013	0	Scattered clouds"
"10.5	1	32	11	63	1012	0	Passing clouds"
"11.0	1	32	9	59	1012	0	Passing clouds"
"11.5	1	32	9	63	1012	0	Scattered clouds"
"12.0	1	32	7	63	1011	0	Scattered clouds"
"12.5	1	33	9	59	1010	0	Partly sunny"
"13.0	1	33	7	59	1010	0	Partly sunny"
"13.5	1	33	6	59	1009	0	Partly sunny"
"14.0	1	33	6	56	1009	0	Partly sunny"
"14.5	1	32	17	67	1009	0	Partly sunny"
"15.0	1	32	17	67	1008	0	Partly sunny"
"15.5	1	32	19	67	1008	0	Partly sunny"
"16.0	1	32	17	67	1008	0	Scattered clouds"
"16.5	1	31	19	66	1008	0	Scattered clouds"
"17.0	1	30	17	66	1009	0	Scattered clouds"
"17.5	1	30	13	66	1009	0	Scattered clouds"
"18.0	1	29	11	70	1009	0	Passing clouds"
"18.5	1	28	13	79	1010	0	Passing clouds"
"19.5	1	28	7	84	1011	0	Passing clouds"
"20.0	1	27	6	89	1011	0	Passing clouds"
"20.5	1	27	7	89	1011	0	Passing clouds"
"21.0	1	27	9	89	1012	0	Passing clouds"
"21.5	1	27	7	89	1012	0	Passing clouds"
"22.0	1	27	6	89	1012	0	Passing clouds"
"22.5	1	27	6	89	1012	0	Passing clouds"
"23.0	1	26	6	94	1012	0	Passing clouds"
"23.5	1	26	6	94	1012	0	Passing clouds"
"0.0	1	26	6	94	1012	0	Passing clouds"
"0.5	1	26	2	94	1011	0	Passing clouds"
"1.0	1	26	2	94	1011	0	Passing clouds"
"1.5	1	25	6	100	1011	0	Passing clouds"
"2.0	1	25	7	100	1011	0	Passing clouds"
"2.5	1	25	7	100	1011	8	Passing clouds"
"4.0	1	25	6	94	1011	8	Passing clouds"
"4.5	1	25	9	100	1011	8	Passing clouds"
"5.0	1	25	6	100	1012	8	Passing clouds"
"5.5	1	25	9	100	1012	8	Passing clouds"
"6.0	1	25	7	94	1012	8	Passing clouds"
"6.5	1	25	7	89	1013	8	Scattered clouds"
"7.0	1	25	9	83	1013	8	Passing clouds"
"7.5	1	25	11	83	1014	8	Passing clouds"
"8.0	1	26	11	79	1014	8	Passing clouds"
"8.5	1	27	11	74	1014	0	Scattered clouds"
"9.0	1	27	7	74	1014	0	Scattered clouds"
"9.5	1	28	9	70	1014	0	Scattered clouds"
"10.0	1	29	7	66	1014	0	Scattered clouds"
"10.5	1	30	4	62	1013	0	Scattered clouds"
"11.0	1	30	4	66	1012	0	Passing clouds"
"11.5	1	31	9	62	1012	0	Passing clouds"
"12.0	1	32	6	55	1011	0	Passing clouds"
"12.5	1	32	7	63	1011	0	Scattered clouds"
"13.0	1	32	2	59	1010	0	Passing clouds"
"13.5	1	34	6	49	1010	0	Scattered clouds"
"14.0	1	33	6	52	1009	0	Scattered clouds"
"14.5	1	33	4	52	1009	0	Scattered clouds"
"15.0	1	33	2	52	1009	0	Scattered clouds"
"15.5	1	34	2	49	1009	0	Scattered clouds"
"16.0	1	32	7	71	1009	0	Scattered clouds"
"16.5	1	30	19	75	1009	0	Partly sunny"
"17.0	1	29	15	79	1010	0	Partly sunny"
"17.5	1	29	15	79	1010	0	Scattered clouds"
"18.0	1	29	11	79	1010	8	Passing clouds"
"18.5	1	29	7	74	1011	0	Passing clouds"
"19.0	1	29	6	74	1011	0	Passing clouds"
"19.5	1	29	4	74	1011	0	Passing clouds"
"20.5	1	25	9	100	1012	6	Sprinkles Passing clouds"
"21.0	1	26	4	94	1013	8	Passing clouds"
"21.5	1	26	9	89	1013	8	Passing clouds"
"22.0	1	25	7	83	1013	8	Passing clouds"
"22.5	1	26	7	79	1012	8	Passing clouds"
"23.0	1	25	7	79	1012	8	Passing clouds"
"23.5	1	25	6	79	1012	8	Passing clouds"
"0.0	1	25	7	79	1012	8	Passing clouds"
"0.5	1	25	6	79	1012	8	Passing clouds"
"1.0	1	24	4	83	1012	8	Passing clouds"
"1.5	1	24	6	83	1011	8	Passing clouds"
"2.0	1	24	7	83	1011	8	Passing clouds"
"2.5	1	24	9	83	1011	8	Passing clouds"
"3.0	1	24	7	83	1011	8	Passing clouds"
"3.5	1	24	7	83	1011	8	Passing clouds"
"4.0	1	24	6	78	1011	8	Passing clouds"
"4.5	1	23	4	89	1011	8	Passing clouds"
"5.0	1	23	2	83	1011	8	Passing clouds"
"5.5	1	23	6	89	1011	8	Passing clouds"
"6.0	1	23	4	83	1012	0	Passing clouds"
"6.5	1	23	4	83	1012	0	Scattered clouds"
"7.0	1	23	7	83	1013	0	Passing clouds"
"8.5	1	26	11	70	1014	0	Passing clouds"
"9.0	1	27	11	66	1014	0	Passing clouds"
"9.5	1	27	11	66	1014	0	Passing clouds"
"10.0	1	28	11	66	1013	0	Passing clouds"
"10.5	1	29	11	62	1013	0	Passing clouds"
"11.0	1	30	9	55	1012	0	Passing clouds"
"11.5	1	30	7	59	1012	0	Passing clouds"
"12.0	1	31	7	55	1011	0	Scattered clouds"
"12.5	1	31	11	55	1011	0	Scattered clouds"
"13.0	1	32	6	49	1010	0	Scattered clouds"
"13.5	1	32	4	49	1010	0	Scattered clouds"
"14.0	1	32	9	49	1009	0	Scattered clouds"
"14.5	1	32	11	46	1009	0	Partly sunny"
"15.5	1	31	7	49	1009	0	Scattered clouds"
"17.0	1	31	2	52	1009	0	Scattered clouds"
"17.5	1	28	17	79	1010	8	Broken clouds"
"18.0	1	28	13	79	1010	8	Partly cloudy"
"18.5	1	28	11	74	1011	8	Partly cloudy"
"19.0	1	28	7	74	1011	0	Partly cloudy"
"19.5	1	27	9	79	1012	0	Partly cloudy"
"20.0	1	28	6	74	1012	0	Partly cloudy"
"20.5	1	27	4	79	1013	0	Partly cloudy"
"21.0	1	26	6	84	1013	0	Partly cloudy"
"21.5	1	27	6	84	1013	0	Partly cloudy"
"22.0	1	27	13	62	1013	0	Partly cloudy"
"22.5	1	26	13	65	1013	0	Passing clouds"
"23.0	1	26	9	65	1013	0	Passing clouds"
"23.5	1	25	11	69	1013	0	Passing clouds"
"0.0	1	25	13	69	1013	0	Passing clouds"
"0.5	1	24	11	74	1013	0	Passing clouds"
"1.0	1	24	11	74	1012	0	Passing clouds"
"1.5	1	24	9	69	1012	0	Passing clouds"
"2.0	1	24	13	69	1012	0	Passing clouds"
"2.5	1	24	13	69	1011	0	Passing clouds"
"3.0	1	23	9	74	1011	0	Passing clouds"
"3.5	1	23	7	78	1011	0	Passing clouds"
"4.0	1	23	15	74	1011	0	Passing clouds"
"4.5	1	23	13	74	1011	0	Passing clouds"
"5.0	1	22	11	78	1011	0	Passing clouds"
"5.5	1	22	11	78	1012	0	Passing clouds"
"6.0	1	22	11	78	1012	0	Passing clouds"
"6.5	1	22	11	78	1012	0	Scattered clouds"
"7.0	1	23	11	74	1013	0	Scattered clouds"
"7.5	1	24	11	69	1013	0	Scattered clouds"
"8.0	1	24	17	69	1013	0	Scattered clouds"
"8.5	1	25	13	65	1014	0	Passing clouds"
"9.0	1	27	15	62	1014	0	Passing clouds"
"9.5	1	27	17	58	1014	0	Passing clouds"
"10.0	1	28	19	55	1014	0	Passing clouds"
"10.5	1	29	17	51	1013	0	Passing clouds"
"11.0	1	30	17	49	1013	0	Passing clouds"
"11.5	1	29	9	48	1013	0	Passing clouds"
"12.0	1	31	7	49	1012	0	Passing clouds"
"12.5	1	31	9	43	1011	0	Passing clouds"
"13.0	1	31	9	46	1011	0	Passing clouds"
"13.5	1	31	11	46	1010	0	Passing clouds"
"14.0	1	32	9	41	1010	0	Scattered clouds"
"14.5	1	32	6	43	1009	0	Scattered clouds"
"15.0	1	32	6	43	1009	0	Scattered clouds"
"15.5	1	32	13	43	1009	0	Scattered clouds"
"16.0	1	31	6	46	1009	0	Scattered clouds"
"16.5	1	30	11	46	1010	0	Scattered clouds"
"17.0	1	28	19	70	1010	0	Scattered clouds"
"17.5	1	27	15	74	1011	0	Scattered clouds"
"18.0	1	27	13	70	1011	0	Passing clouds"
"18.5	1	27	9	74	1011	0	Passing clouds"
